qid,question,gold,prediction,em,f1,confidence,latency_ms,abstained,x_method,x_rank
WebQTest-0,what does jamaican people speak,Jamaican English,Kerron Stewart,0,0.0,1.0,252.1118000149727,False,quest_kg,0
WebQTest-1,what did james k polk do before he was president,United States Representative,Polk: The Man Who Transformed the Presidency and America,0,0.16,1.0,46.628399984911084,False,quest_kg,0
WebQTest-3,who plays ken barlow in coronation street,William Roache,Coronation Street - Season 19,0,0.0,1.0,44.981000013649464,False,quest_kg,0
WebQTest-6,where is jamarcus russell from,Mobile,Zina L. Russell-Anderson,0,0.0,1.0,38.45029999502003,False,quest_kg,16
WebQTest-7,where was george washington carver from,Diamond,Botanist,0,0.0,1.0,41.23750003054738,False,quest_kg,17
WebQTest-8,what else did ben franklin invent,Lightning rod,Inventor,0,0.0,1.0,43.67160005494952,False,quest_kg,8
WebQTest-9,who was richard nixon married to,Pat Nixon,The Real Nixon: An Intimate Biography,0,0.25,1.0,51.970599917694926,False,quest_kg,0
WebQTest-12,who is governor of ohio 2011,John Kasich,"United States presidential election in Ohio, 2012",0,0.0,1.0,49.8838999774307,False,quest_kg,0
WebQTest-13,who was vice president after kennedy died,Lyndon B. Johnson,Lyndon B. Johnson,1,1.0,1.0,49.06019987538457,False,quest_kg,1
WebQTest-14,where is the fukushima daiichi nuclear plant located,Japan,Japan,1,1.0,1.0,25.442299898713827,False,quest_kg,1
WebQTest-16,what countries are part of the uk,Wales,Europe,0,0.0,1.0,37.78430004604161,False,quest_kg,0
WebQTest-19,what is my timezone in louisiana,Central Time Zone,Central Time Zone,1,1.0,1.0,40.37619987502694,False,quest_kg,1
WebQTest-20,what did st augustine do,Writer,St. Augustine's Catholic Church,0,0.0,1.0,46.35569988749921,False,quest_kg,0
WebQTest-21,who is keyshia cole dad,Sal Gibson,Keyshia & Daniel: Family First,0,0.0,1.0,45.97410000860691,False,quest_kg,12
WebQTest-22,what kind government does egypt have,Semi-presidential system,Egyptian Ministry of Foreign Affairs,0,0.0,1.0,44.684800086542964,False,quest_kg,9
WebQTest-23,what town was martin luther king assassinated in,Memphis,Assassination,0,0.0,1.0,32.63389994390309,False,quest_kg,9
WebQTest-24,where did edgar allan poe died,Baltimore,Edgar A Poe: Mournful and Never-ending Remembrance,0,0.0,1.0,34.0011001098901,False,quest_kg,6
WebQTest-26,what to do today in atlanta with kids,Fox Theatre,Ansley Park,0,0.4,1.0,34.41479988396168,False,quest_kg,0
WebQTest-28,what electorate does anna bligh represent,Electoral district of South Brisbane,"Queensland state election, 2009",0,0.0,1.0,25.364600121974945,False,quest_kg,0
WebQTest-31,where did andy murray started playing tennis,2005,m.0jxs_c6,0,0.0,1.0,31.462699873372912,False,quest_kg,0
WebQTest-32,what is the australian dollar called,AUD,Australia,0,0.0,1.0,24.48019990697503,False,quest_kg,0
WebQTest-33,what timezone is sweden,Central European Time Zone,Central European Time Zone,1,1.0,1.0,32.822800101712346,False,quest_kg,1
WebQTest-34,who did cam newton sign with,Carolina Panthers,"Cecil Newton, Sr.",0,0.0,1.0,23.50410004146397,False,quest_kg,0
WebQTest-35,what county is frederick md in,Frederick County,Maryland,0,0.0,1.0,25.059500010684133,False,quest_kg,10
WebQTest-36,what highschool did harper lee go to,Monroe County High School,Amasa Coleman Lee,0,0.0,1.0,29.963299864903092,False,quest_kg,0
WebQTest-37,what timezone is utah in,Mountain Time Zone,Mountain Time Zone,1,1.0,1.0,32.28819998912513,False,quest_kg,1
WebQTest-38,who did george w. bush run against for the second term,John Kerry,Bushwhacked 2,0,0.0,1.0,32.67730004154146,False,quest_kg,0
WebQTest-39,who is niall ferguson 's wife,Ayaan Hirsi Ali,Glasgow,0,0.0,1.0,35.06330004893243,False,quest_kg,0
WebQTest-41,where is the galapagos islands located on a world map,Ecuador,Galápagos National Park,0,0.4,1.0,42.4795001745224,False,quest_kg,2
WebQTest-42,what are the songs that justin bieber wrote,Somebody to Love,Big R Radio - Top 40 Hits,0,0.0,1.0,51.3869000133127,False,quest_kg,5
WebQTest-43,what did george clemenceau do,Physician,Benjamin Clemenceau,0,0.0,1.0,41.40039999037981,False,quest_kg,15
WebQTest-44,what is the state flower of arizona,Saguaro,Phoenix,0,0.0,1.0,47.6261000148952,False,quest_kg,0
WebQTest-45,where was rihanna born and raised,Saint Michael Parish,Saint Michael Parish,1,1.0,1.0,51.17190000601113,False,quest_kg,1
WebQTest-46,what year did president william henry harrison take office,1841-03-04,John Scott Harrison,0,0.0,1.0,39.29130011238158,False,quest_kg,0
WebQTest-47,where george lopez was born,Mission Hills,Mexican American,0,0.0,1.0,46.20530013926327,False,quest_kg,32
WebQTest-48,where are samsung based,Suwon,Samsung N130,0,0.0,1.0,23.110499838367105,False,quest_kg,0
WebQTest-49,what did the islamic people believe in,Ṭūbā,Sharia,1,1.0,1.0,26.064899982884526,False,quest_kg,0
WebQTest-51,who will play mr gray in the film,Jamie Dornan,Fifty Shades of Grey,0,0.0,1.0,21.468200022354722,False,quest_kg,0
WebQTest-52,what did george orwell died of,Tuberculosis,Richard Horatio Orwell,0,0.0,1.0,28.617999982088804,False,quest_kg,6
WebQTest-54,what country did adolf hitler control,Nazi Germany,"During the next four years (1934-38), helped by economic recovery and a reduction in unemployment, Hitler enjoyed a series of international successes which consolidated his power in Germany, and helped (along with Goebbels' propaganda) Germany to accept the  nazification of all aspects of German life, enforced by Himmler's Secret State Police (Gestapo) and the opening of concentration camps for political opponents and Jews, who were systematically persecuted.",0,0.0547945205479452,1.0,29.08089989796281,False,quest_kg,0
WebQTest-55,who is michael buble,Actor,Totally Bublé,0,0.0,1.0,28.075800044462085,False,quest_kg,2
WebQTest-56,what county is kansas city kansas,Wyandotte County,Kansas City Kansas Community College,0,0.0,1.0,23.636099882423878,False,quest_kg,6
WebQTest-58,who did jackie robinson first play for,UCLA Bruins football,Baseball player,0,0.0,1.0,24.286999832838774,False,quest_kg,0
WebQTest-59,when did annie open,1976-08-10,Musical Drama,0,0.0,1.0,26.734600076451898,False,quest_kg,0
WebQTest-60,where did eleanor roosevelt die,Manhattan,Home of Franklin D. Roosevelt National Historic Site,0,0.0,1.0,28.142299968749285,False,quest_kg,2
WebQTest-61,what are the religions practiced in indonesia,Catholicism,Indonesian Destinies,0,0.0,1.0,32.605000073090196,False,quest_kg,0
WebQTest-62,what was jesse james killed with,Firearm,Assassination,0,0.0,1.0,25.138000026345253,False,quest_kg,4
WebQTest-63,who was vp for lincoln,Hannibal Hamlin,"In 1860, defeating Seward, Lincoln was chosen as the presidential nominee of the antislavery Republican party.",0,0.0,1.0,42.272299993783236,False,quest_kg,8
WebQTest-64,what other books did charles dickens write,A Christmas Carol (Chrysalis Children's Classics Series),Christmas Books,0,0.5714285714285715,1.0,31.93589998409152,False,quest_kg,0
WebQTest-65,who was the first dictator of the soviet union,Vladimir Lenin,Russian Soviet Federative Socialist Republic,0,0.0,1.0,46.27360007725656,False,quest_kg,20
WebQTest-66,what is the currency of puerto rico called,United States Dollar,United States Dollar,1,1.0,1.0,34.32870004326105,False,quest_kg,1
WebQTest-67,what kind of cancer did carl wilson have,Lung cancer,Lung cancer,1,1.0,1.0,40.94429989345372,False,quest_kg,1
WebQTest-68,who plays the voice of kitt in knight rider,William Daniels,KITT,0,0.0,1.0,34.26639991812408,False,quest_kg,0
WebQTest-69,what county is brentwood tennessee in,Williamson County,Tennessee,0,0.0,1.0,36.30140004679561,False,quest_kg,14
WebQTest-71,who did michael j fox marry,Tracy Pollan,United States of America,0,0.0,1.0,38.65820006467402,False,quest_kg,0
WebQTest-72,what battles did stonewall jackson fight in,Manassas Station Operations,Battle of Cedar Mountain,1,1.0,1.0,38.96029992029071,False,quest_kg,0
WebQTest-73,what language do the maasai tribe speak,Maasai Language,Maasai Language,1,1.0,1.0,28.88400014489889,False,quest_kg,1
WebQTest-74,who did benjamin franklin get married to,Deborah Read,"In London, Franklin and his son William lodged for 15 years with Margaret Stevenson, whose daughter Mary married the anatomist and physiologist Hewson.",0,0.0,1.0,39.71810010261834,False,quest_kg,0
WebQTest-75,what disease did patrick swayze died from,Pancreatic cancer,Pancreatic cancer,1,1.0,1.0,33.95549999549985,False,quest_kg,1
WebQTest-76,what works of art did leonardo da vinci produce,g.121wt37c,"Leonardo, paintings and drawings",0,0.28571428571428575,1.0,26.744599919766188,False,quest_kg,0
WebQTest-77,what capital of austria,Vienna,Austrian municipality,0,0.0,1.0,34.82840000651777,False,quest_kg,5
WebQTest-78,what type of cancer did eva peron have,Cervical cancer,Cancer,0,0.6666666666666666,1.0,25.25270008482039,False,quest_kg,4
WebQTest-79,what country did buddha come from,Nepal,Buddhist philosophy,0,0.0,1.0,26.682799914851785,False,quest_kg,4
WebQTest-80,what county is greeley colorado in,Weld County,Colorado,0,0.0,1.0,24.258500197902322,False,quest_kg,15
WebQTest-82,what did peter tchaikovsky do,Musician,ivan sergeyevich turgenev endorsed peter ilich tchaikovsky,0,0.0,1.0,27.12700003758073,False,quest_kg,0
WebQTest-83,which countries speak german officially,Belgium,East Germany,1,1.0,1.0,25.99909994751215,False,quest_kg,3
WebQTest-84,what type of music did john lennon sing,Rock music,Beatles Classic Hits,0,0.0,1.0,29.936699895188212,False,quest_kg,5
WebQTest-85,who are the colorado representatives,Mark Udall,m.09qpdz3,0,0.0,1.0,29.199999989941716,False,quest_kg,0
WebQTest-86,which country does greenland belong to,Denmark,Greenlandic language,0,0.0,1.0,26.172100100666285,False,quest_kg,4
WebQTest-87,what the zip code for seattle washington,98185,Area code 206,0,0.0,1.0,31.628299970179796,False,quest_kg,0
WebQTest-88,who is willow smith mom name,Jada Pinkett Smith,Jada Pinkett Smith,1,1.0,1.0,26.139300083741546,False,quest_kg,1
WebQTest-89,what do you call the chinese writing system,Simplified Chinese character,Sino-Tibetan languages,0,0.0,1.0,25.404299842193723,False,quest_kg,3
WebQTest-90,who played on the jeffersons,Damon Evans,Sitcom,0,0.0,1.0,27.417700039222836,False,quest_kg,0
