qid,question,gold,prediction,em,f1,confidence,latency_ms,abstained,x_method,x_rank
oa_331,"At time 58 in context ctx_02, can u_0041 access res_0027?",1,No.,0,0.0,0.8,9301.238061000277,False,tog1,0
oa_0,"At time 83 in context ctx_03, can u_0045 access res_0134?",0,No.,1,1.0,0.8,5471.533319000173,False,tog1,0
oa_365,"At time 55 in context ctx_07, can u_0481 access res_0048?",1,No.,0,0.0,0.8,8628.00194600004,False,tog1,0
oa_1,"At time 142 in context ctx_06, can u_0029 access res_0098?",0,No.,1,1.0,0.8,9274.2244330002,False,tog1,0
oa_589,"At time 55 in context ctx_07, can u_0247 access res_0048?",1,No.,0,0.0,0.8,9296.99499399976,False,tog1,0
oa_2,"At time 93 in context ctx_05, can u_0276 access res_0026?",0,No.,1,1.0,0.8,9271.009791999859,False,tog1,0
oa_604,"At time 58 in context ctx_02, can u_0127 access res_0130?",1,No.,0,0.0,0.8,9309.46235600004,False,tog1,0
oa_9,"At time 124 in context ctx_04, can u_0442 access res_0154?",0,No.,1,1.0,0.8,8392.133921000095,False,tog1,0
oa_685,"At time 51 in context ctx_03, can u_0138 access res_0156?",1,No.,0,0.0,0.8,9297.877936000077,False,tog1,0
oa_12,"At time 134 in context ctx_06, can u_0132 access res_0152?",0,No.,1,1.0,0.8,1463.3784160000687,False,tog1,0
oa_708,"At time 60 in context ctx_04, can u_0452 access res_0130?",1,To determine if u_0452 can access res_0130 at time 60 in context,0,0.0,0.8,9305.38948000003,False,tog1,0
oa_15,"At time 90 in context ctx_02, can u_0316 access res_0060?",0,No.,1,1.0,0.8,9250.231736999922,False,tog1,0
oa_803,"At time 50 in context ctx_02, can u_0243 access res_0027?",1,No.,0,0.0,0.8,9297.973990999708,False,tog1,0
oa_19,"At time 128 in context ctx_00, can u_0170 access res_0134?",0,No.,1,1.0,0.8,9301.388467999914,False,tog1,0
oa_826,"At time 61 in context ctx_05, can u_0225 access res_0081?",1,No.,0,0.0,0.8,9123.1220210002,False,tog1,0
oa_26,"At time 196 in context ctx_04, can u_0236 access res_0066?",0,No.,1,1.0,0.8,9310.674616000142,False,tog1,0
oa_862,"At time 50 in context ctx_02, can u_0311 access res_0133?",1,No.,0,0.0,0.8,8208.46624800015,False,tog1,0
oa_27,"At time 97 in context ctx_01, can u_0206 access res_0080?",0,No.,1,1.0,0.8,9297.017527999742,False,tog1,0
oa_889,"At time 58 in context ctx_02, can u_0096 access res_0140?",1,Yes.,1,1.0,0.8,9305.760733999705,False,tog1,0
oa_58,"At time 66 in context ctx_02, can u_0019 access res_0022?",0,No.,1,1.0,0.8,9120.625045999986,False,tog1,0
oa_948,"At time 58 in context ctx_02, can u_0471 access res_0114?",1,No.,0,0.0,0.8,9309.772989000066,False,tog1,0
oa_63,"At time 136 in context ctx_00, can u_0252 access res_0175?",0,No.,1,1.0,0.8,6204.9583030002395,False,tog1,0
oa_1019,"At time 59 in context ctx_03, can u_0465 access res_0056?",1,No.,0,0.0,0.8,9314.841953999803,False,tog1,0
oa_64,"At time 190 in context ctx_06, can u_0133 access res_0162?",0,No.,1,1.0,0.8,8145.740956999816,False,tog1,0
oa_1083,"At time 52 in context ctx_04, can u_0300 access res_0103?",1,No.,0,0.0,0.8,8138.062679000086,False,tog1,0
oa_69,"At time 157 in context ctx_05, can u_0162 access res_0029?",0,No.,1,1.0,0.8,9293.889729000057,False,tog1,0
oa_1084,"At time 56 in context ctx_00, can u_0225 access res_0074?",1,Insufficient information.,0,0.0,0.8,6745.1060739999775,False,tog1,0
oa_72,"At time 118 in context ctx_06, can u_0369 access res_0089?",0,No.,1,1.0,0.8,9308.746915000029,False,tog1,0
oa_1101,"At time 58 in context ctx_02, can u_0127 access res_0114?",1,No.,0,0.0,0.8,9298.435030999826,False,tog1,0
oa_79,"At time 108 in context ctx_04, can u_0206 access res_0157?",0,No.,1,1.0,0.8,9302.26811600005,False,tog1,0
oa_1277,"At time 58 in context ctx_02, can u_0243 access res_0114?",1,No.,0,0.0,0.8,8990.986397999677,False,tog1,0
oa_81,"At time 64 in context ctx_00, can u_0378 access res_0078?",0,No.,1,1.0,0.8,9304.592754000168,False,tog1,0
oa_1342,"At time 55 in context ctx_07, can u_0176 access res_0061?",1,Insufficient information.,0,0.0,0.8,9122.255463999863,False,tog1,0
oa_82,"At time 86 in context ctx_06, can u_0011 access res_0149?",0,No.,1,1.0,0.8,9292.022504000215,False,tog1,0
oa_1531,"At time 53 in context ctx_05, can u_0440 access res_0074?",1,Insufficient information.,0,0.0,0.8,9302.405071000067,False,tog1,0
oa_101,"At time 176 in context ctx_00, can u_0397 access res_0044?",0,No.,1,1.0,0.8,9309.472037999967,False,tog1,0
oa_1551,"At time 51 in context ctx_03, can u_0190 access res_0156?",1,No.,0,0.0,0.8,9300.65627499971,False,tog1,0
oa_108,"At time 183 in context ctx_07, can u_0276 access res_0120?",0,Insufficient information.,0,0.0,0.8,9118.56399699991,False,tog1,0
oa_1668,"At time 53 in context ctx_05, can u_0020 access res_0024?",1,No.,0,0.0,0.8,8760.6992609999,False,tog1,0
oa_115,"At time 94 in context ctx_06, can u_0007 access res_0152?",0,No.,1,1.0,0.8,9307.804007999948,False,tog1,0
oa_1677,"At time 50 in context ctx_02, can u_0046 access res_0085?",1,Yes.,1,1.0,0.8,9301.607159000014,False,tog1,0
oa_117,"At time 144 in context ctx_00, can u_0307 access res_0102?",0,No.,1,1.0,0.8,9311.02039399957,False,tog1,0
oa_1762,"At time 54 in context ctx_06, can u_0225 access res_0077?",1,No.,0,0.0,0.8,6745.136480999918,False,tog1,0
oa_120,"At time 171 in context ctx_03, can u_0063 access res_0130?",0,No.,1,1.0,0.8,6202.383739000197,False,tog1,0
oa_1983,"At time 61 in context ctx_05, can u_0277 access res_0074?",1,No.,0,0.0,0.8,9305.088802999762,False,tog1,0
oa_125,"At time 69 in context ctx_05, can u_0465 access res_0015?",0,No.,1,1.0,0.8,9298.479206000138,False,tog1,0
oa_1998,"At time 58 in context ctx_02, can u_0199 access res_0016?",1,No.,0,0.0,0.8,9301.283280000007,False,tog1,0
oa_132,"At time 184 in context ctx_00, can u_0312 access res_0154?",0,No.,1,1.0,0.8,9246.493439000005,False,tog1,0
oa_2040,"At time 56 in context ctx_00, can u_0440 access res_0074?",1,No.,0,0.0,0.8,5939.841884000089,False,tog1,0
oa_152,"At time 96 in context ctx_00, can u_0156 access res_0128?",0,No.,1,1.0,0.8,8571.635686999798,False,tog1,0
oa_2101,"At time 62 in context ctx_06, can u_0139 access res_0077?",1,No.,0,0.0,0.8,9123.863627999981,False,tog1,0
oa_165,"At time 103 in context ctx_07, can u_0315 access res_0188?",0,No.,1,1.0,0.8,9295.520131999638,False,tog1,0
oa_2127,"At time 50 in context ctx_02, can u_0020 access res_0124?",1,No.,0,0.0,0.8,9303.274905999842,False,tog1,0
oa_167,"At time 68 in context ctx_04, can u_0073 access res_0039?",0,No.,1,1.0,0.8,9174.62356599981,False,tog1,0
oa_2131,"At time 57 in context ctx_01, can u_0481 access res_0145?",1,No.,0,0.0,0.8,7033.857314000215,False,tog1,0
oa_168,"At time 78 in context ctx_06, can u_0051 access res_0112?",0,No.,1,1.0,0.8,9304.683813000338,False,tog1,0
oa_2133,"At time 56 in context ctx_00, can u_0225 access res_0027?",1,No.,0,0.0,0.8,9306.341189999785,False,tog1,0
oa_177,"At time 180 in context ctx_04, can u_0240 access res_0124?",0,No.,1,1.0,0.8,9301.61224199992,False,tog1,0
oa_2250,"At time 55 in context ctx_07, can u_0321 access res_0141?",1,Yes.,1,1.0,0.8,9315.327498999977,False,tog1,0
oa_178,"At time 65 in context ctx_01, can u_0104 access res_0071?",0,No.,1,1.0,0.8,9286.081992000163,False,tog1,0
oa_2280,"At time 61 in context ctx_05, can u_0247 access res_0139?",1,No.,0,0.0,0.8,9291.372266000053,False,tog1,0
oa_186,"At time 157 in context ctx_05, can u_0441 access res_0085?",0,No.,1,1.0,0.8,1470.2922029996444,False,tog1,0
oa_2374,"At time 56 in context ctx_00, can u_0020 access res_0055?",1,No.,0,0.0,0.8,9308.684565000021,False,tog1,0
oa_201,"At time 116 in context ctx_04, can u_0457 access res_0045?",0,No.,1,1.0,0.8,9277.996342999813,False,tog1,0
oa_2411,"At time 53 in context ctx_05, can u_0471 access res_0074?",1,No.,0,0.0,0.8,9307.622794000054,False,tog1,0
oa_209,"At time 110 in context ctx_06, can u_0171 access res_0122?",0,No.,1,1.0,0.8,9298.077732000365,False,tog1,0
oa_2522,"At time 59 in context ctx_03, can u_0096 access res_0056?",1,No.,0,0.0,0.8,9301.821964999817,False,tog1,0
oa_218,"At time 153 in context ctx_01, can u_0386 access res_0023?",0,"To answer this, we need to follow the given chain and make logical deductions:",0,0.0,0.8,5370.604228000047,False,tog1,0
oa_2551,"At time 52 in context ctx_04, can u_0286 access res_0147?",1,No.,0,0.0,0.8,9298.990389999744,False,tog1,0
oa_226,"At time 65 in context ctx_01, can u_0171 access res_0040?",0,No.,1,1.0,0.8,9300.132020000092,False,tog1,0
oa_2641,"At time 56 in context ctx_00, can u_0247 access res_0074?",1,No.,0,0.0,0.8,1465.1772699999128,False,tog1,0
oa_228,"At time 145 in context ctx_01, can u_0110 access res_0128?",0,No.,1,1.0,0.8,1472.2143109997887,False,tog1,0
oa_2770,"At time 54 in context ctx_06, can u_0247 access res_0077?",1,No.,0,0.0,0.8,9279.467206999925,False,tog1,0
oa_240,"At time 104 in context ctx_00, can u_0457 access res_0157?",0,No.,1,1.0,0.8,1469.4147699997302,False,tog1,0
oa_2900,"At time 57 in context ctx_01, can u_0139 access res_0145?",1,No.,0,0.0,0.8,6197.22217799972,False,tog1,0
oa_246,"At time 112 in context ctx_00, can u_0123 access res_0127?",0,No.,1,1.0,0.8,6204.703447000156,False,tog1,0
oa_2904,"At time 51 in context ctx_03, can u_0020 access res_0064?",1,No.,0,0.0,0.8,7893.422652000027,False,tog1,0
oa_251,"At time 71 in context ctx_07, can u_0470 access res_0008?",0,No.,1,1.0,0.8,6198.12913099986,False,tog1,0
oa_2927,"At time 58 in context ctx_02, can u_0127 access res_0077?",1,No.,0,0.0,0.8,9298.977666000155,False,tog1,0
oa_258,"At time 135 in context ctx_07, can u_0401 access res_0042?",0,No.,1,1.0,0.8,9305.702409999867,False,tog1,0
oa_3155,"At time 56 in context ctx_00, can u_0041 access res_0130?",1,No.,0,0.0,0.8,9309.799573999953,False,tog1,0
oa_265,"At time 187 in context ctx_03, can u_0245 access res_0030?",0,No.,1,1.0,0.8,9291.911418000382,False,tog1,0
oa_3204,"At time 56 in context ctx_00, can u_0277 access res_0027?",1,No.,0,0.0,0.8,9236.27399399993,False,tog1,0
oa_270,"At time 108 in context ctx_04, can u_0475 access res_0106?",0,No.,1,1.0,0.8,9058.433566999156,False,tog1,0
oa_3245,"At time 55 in context ctx_07, can u_0199 access res_0141?",1,No.,0,0.0,0.8,8640.79656099966,False,tog1,0
oa_275,"At time 128 in context ctx_00, can u_0248 access res_0129?",0,No.,1,1.0,0.8,8144.7653370005355,False,tog1,0
oa_3317,"At time 57 in context ctx_01, can u_0225 access res_0145?",1,No.,0,0.0,0.8,8077.6332779996665,False,tog1,0
oa_288,"At time 64 in context ctx_00, can u_0092 access res_0194?",0,No.,1,1.0,0.8,8876.914231999763,False,tog1,0
oa_3400,"At time 58 in context ctx_02, can u_0471 access res_0140?",1,No.,0,0.0,0.8,9303.189182000096,False,tog1,0
oa_290,"At time 195 in context ctx_03, can u_0162 access res_0132?",0,No.,1,1.0,0.8,9300.203129999318,False,tog1,0
oa_3420,"At time 62 in context ctx_06, can u_0481 access res_0036?",1,No.,0,0.0,0.8,9306.251959000292,False,tog1,0
oa_292,"At time 179 in context ctx_03, can u_0141 access res_0192?",0,Insufficient information.,0,0.0,0.8,6206.382323999605,False,tog1,0
oa_3442,"At time 59 in context ctx_03, can u_0452 access res_0056?",1,No.,0,0.0,0.8,9310.977080999692,False,tog1,0
oa_294,"At time 122 in context ctx_02, can u_0305 access res_0022?",0,No.,1,1.0,0.8,8144.276934000118,False,tog1,0
oa_3572,"At time 60 in context ctx_04, can u_0481 access res_0145?",1,No.,0,0.0,0.8,6210.1791079994655,False,tog1,0
oa_298,"At time 197 in context ctx_05, can u_0469 access res_0169?",0,No.,1,1.0,0.8,9293.695696000214,False,tog1,0
oa_3678,"At time 56 in context ctx_00, can u_0471 access res_0140?",1,No.,0,0.0,0.8,9298.200207000264,False,tog1,0
oa_309,"At time 198 in context ctx_06, can u_0377 access res_0147?",0,No.,1,1.0,0.8,9299.679588999425,False,tog1,0
oa_3784,"At time 53 in context ctx_05, can u_0321 access res_0139?",1,No.,0,0.0,0.8,9302.251031999731,False,tog1,0
oa_312,"At time 172 in context ctx_04, can u_0162 access res_0195?",0,No.,1,1.0,0.8,1463.1258940007683,False,tog1,0
oa_3853,"At time 50 in context ctx_02, can u_0221 access res_0066?",1,No.,0,0.0,0.8,6742.57765099992,False,tog1,0
oa_316,"At time 93 in context ctx_05, can u_0352 access res_0088?",0,No.,1,1.0,0.8,1464.379043000008,False,tog1,0
oa_3947,"At time 53 in context ctx_05, can u_0247 access res_0145?",1,No.,0,0.0,0.8,8205.244607000168,False,tog1,0
oa_318,"At time 88 in context ctx_00, can u_0052 access res_0131?",0,Insufficient information.,0,0.0,0.8,6195.6557579997025,False,tog1,0
oa_4008,"At time 62 in context ctx_06, can u_0096 access res_0036?",1,No.,0,0.0,0.8,9305.325201999949,False,tog1,0
oa_322,"At time 133 in context ctx_05, can u_0475 access res_0026?",0,No.,1,1.0,0.8,9282.110615999954,False,tog1,0
oa_4258,"At time 61 in context ctx_05, can u_0321 access res_0074?",1,No.,0,0.0,0.8,9300.533286000245,False,tog1,0
oa_327,"At time 173 in context ctx_05, can u_0109 access res_0006?",0,No.,1,1.0,0.8,9304.823539000608,False,tog1,0
oa_4270,"At time 54 in context ctx_06, can u_0243 access res_0020?",1,No.,0,0.0,0.8,9305.519585999718,False,tog1,0
oa_332,"At time 96 in context ctx_00, can u_0002 access res_0164?",0,No.,1,1.0,0.8,8388.747443999819,False,tog1,0
oa_4458,"At time 61 in context ctx_05, can u_0247 access res_0077?",1,No.,0,0.0,0.8,9301.092421000249,False,tog1,0
oa_333,"At time 119 in context ctx_07, can u_0388 access res_0158?",0,No.,1,1.0,0.8,9297.664994000115,False,tog1,0
oa_4580,"At time 60 in context ctx_04, can u_0452 access res_0145?",1,No.,0,0.0,0.8,6204.365618999873,False,tog1,0
oa_337,"At time 68 in context ctx_04, can u_0331 access res_0092?",0,No.,1,1.0,0.8,9306.153518999963,False,tog1,0
oa_4588,"At time 58 in context ctx_02, can u_0041 access res_0140?",1,No.,0,0.0,0.8,9305.557694000527,False,tog1,0
