qid,question,gold,prediction,em,f1,confidence,latency_ms,abstained,x_method,x_rank
WebQTest-832_c334509bb5e02cacae1ba2e80c176499,Lou Seal is the mascot for the team that last won the World Series when?,2014 World Series,1996 San Francisco Giants season,0,0.0,1.0,243.0813000537455,False,quest_kg,5
WebQTrn-1259_1997cb4922db71983be26e6a509950f4,"Where did the ""Country Nation World Tour"" concert artist go to college?",Belmont University,Universities,0,0.0,1.0,58.75149997882545,False,quest_kg,0
WebQTest-1384_744a496b907e407b16bc5d7c197dc3f0,What is the predominant religion where the leader is Ovadia Yosef?,Judaism,Chief Rabbinate of Israel,0,0.0,1.0,72.72290019318461,False,quest_kg,17
WebQTrn-241_dfb6c97ac9bf2f0ac07f27dd80f9edc2,What country bordering France contains an airport that serves Nijmegen?,Germany,Weeze Airport,0,0.0,1.0,127.41539999842644,False,quest_kg,2
WebQTrn-1077_f4a9e5f1e0dcfb82cbadf4771eda7bb5,The national anthem Afghan National Anthem is from the country which practices what religions?,Shia Islam,Afghanistan,0,0.0,1.0,27.66340016387403,False,quest_kg,0
WebQTest-576_01e2da60a2779c4ae4b5d1547499a4f8,Which nation has the Alta Verapaz Department and is in Central America?,Guatemala,Mexico,0,0.0,1.0,40.88680003769696,False,quest_kg,20
WebQTest-590_6aad73acb74f304bc9acae44314164be,"Which man is the leader of the country that uses Libya, Libya, Libya as its national anthem?",Abdullah al-Thani,Libya,0,0.0,1.0,88.69619993492961,False,quest_kg,0
WebQTrn-3251_d8cddfe5e947e414b7735780ef1efff8,"What educational institution has a football sports team named Northern Colorado Bears is in Greeley, Colorado?",University of Northern Colorado,Northern Colorado Bears men's basketball,0,0.4,1.0,39.356900146231055,False,quest_kg,2
WebQTrn-2069_0fa727f3b282196eb1097410b4be6818,What language is spoken in the location that appointed Michelle Bachelet to a governmental position speak?,Aymara language,Chilean Ministry of Finance,0,0.0,1.0,39.47909991256893,False,quest_kg,0
WebQTrn-1938_7322a2a4d46bf36b95bfab4418c9a32b,What type of government is used in the country with Northern District?,Parliamentary system,Israel north dist,0,0.0,1.0,60.34959992393851,False,quest_kg,9
WebQTrn-60_68f0d0ad309d64a4af858a5ef4fb5713,"In which countries do the people speak Portuguese, where the child labor percentage was once 1.8?",Mozambique,Iberian Romance languages,0,0.0,1.0,61.48210004903376,False,quest_kg,5
WebQTest-100_bf66fd89b6e9fc5fcb96c8b3f7a0e616,The people from the country that contains Nord-Ouest Department speak what languages today?,Haitian Creole,French,1,1.0,1.0,50.936900079250336,False,quest_kg,4
WebQTrn-962_032f61bfcfed69da8b215bb8f058c24e,What actor played the a kid in the movie with a character named Jenny's Father?,Michael Connor Humphreys,Tom Hanks,0,0.0,1.0,37.43300004862249,False,quest_kg,3
WebQTrn-849_586aae7703d62aa44eb79759e1563309,What European Union country sharing borders with Germany contains the Lejre Municipality?,Denmark,Bavaria,0,0.0,1.0,46.21129995211959,False,quest_kg,8
WebQTrn-710_c264a6d11d7956741926d417b94327e2,When was the last time a team led by Larr Baer win the World Series?,2014 World Series,San Francisco Giants,0,0.0,1.0,33.49719988182187,False,quest_kg,0
WebQTrn-2209_c1374f388d9cc7a78365860c91218362,What year did the basketball team coached by Brad Stevens win the championship?,2008 NBA Finals,1964 NBA Finals,1,1.0,1.0,48.2763999607414,False,quest_kg,19
WebQTest-1251_cbf2f20f6caf754bc49d672ca7b150b7,What country speaks Germanic languages and uses the East German mark as currency?,East Germany,French,0,0.0,1.0,38.77320000901818,False,quest_kg,13
WebQTrn-3100_143c89d70679c3e5257c93d8e2bc4c67,Which globe region with the UTCâ05:00 time zone does the Dominican Republic call home?,Greater Antilles,Cuba,0,0.0,1.0,42.08889999426901,False,quest_kg,63
WebQTrn-662_7a992044f94b39edfc37ac5dcfcb3c26,What was the name of the team that won the 2008 FIFA Club World Cup Final championship?,Newton Heath L&YR F.C.,International Stadium Yokohama,0,0.0,1.0,31.92239999771118,False,quest_kg,0
WebQTest-743_0a8cdba29cf260283b7c890b3609c0b9,Which of JFK's brother held the latest governmental position?,Robert F. Kennedy,Chairman of the U.S. Federal Communications Commission,0,0.0,1.0,38.519700057804585,False,quest_kg,36
WebQTest-1797_68a33792b0a1e18937dcd4b3f50d941e,What group fought in the Battle of Vicksburg that was based in Montgomery?,Confederate States of America,Confederate States of America,1,1.0,1.0,44.59020006470382,False,quest_kg,1
WebQTrn-1864_9dc4e22121d3a46d45b8f9bd9e8c7013,Which country that is situated in the ASEAN Common Time Zone has the largest population?,India,DST offset from UTC,0,0.0,1.0,56.16499995812774,False,quest_kg,0
WebQTrn-1841_b8df00139e3fa59b8633ef551ed8ca9f,What popular sport in Spain has a team that won the 2010 FIFA World Cup championship?,Spain national football team,Spain national football team,1,1.0,1.0,68.36159992963076,False,quest_kg,1
WebQTrn-124_f3990dc9aa470fa81ec4cf2912a9924f,Which movie with a character called Ajila was directed by Angelina Jolie?,In the Land of Blood and Honey,In the Land of Blood and Honey,1,1.0,1.0,37.850100081413984,False,quest_kg,22
WebQTest-538_49b4e9304f18a0a1cbe37bb162f61131,WHat movies have the actress who is an alumni for West Reading El Ctr a part of?,Hannah Montana: The Movie,Taylor Swift,0,0.0,1.0,27.570500038564205,False,quest_kg,0
WebQTrn-2722_8babdaa9ecd05a72e3227b43b1f98771,For what did the personage who was educated at the Dewitt High School win a gold medal?,Gymnastics at the 2012 Summer Olympics – Women's artistic team all-around,1992 Winter Olympics,0,0.125,1.0,29.816800029948354,False,quest_kg,0
WebQTest-983_ccda690fb745939d0a62c3fbcf3e3769,"Where did Tennessee Williams go to college where the newspaper is ""The Maneater""?",University of Missouri,Conversations with Tennessee Williams,0,0.0,1.0,49.82959991320968,False,quest_kg,15
WebQTrn-1770_8db36acba886620a06031d39165d78de,Who is the daughter of the artist who had a concert tour called I Am... World Tour?,Blue Ivy,"I Am… Tour, New York City, NY Concert",0,0.0,1.0,34.69380014576018,False,quest_kg,0
WebQTrn-1817_89670933168c3f4e5195a241f9d46e76,What are the governmental types in the country whose national anthem is Tien Quan Ca?,Communist state,National anthem,0,0.0,1.0,29.56539997830987,False,quest_kg,0
WebQTrn-849_1eb0f1ddd5074471fbe3a7f6b575f202,Copenhagen is the capital of which German neighboring country?,Denmark,Capital Region of Denmark,0,0.4,1.0,45.862199971452355,False,quest_kg,2
WebQTrn-2152_92fba37c9723caee68665ad9a5e4a468,Which of team owners Tom Hicks sports team are in the American League West?,Texas Rangers,Seattle Mariners,0,0.0,1.0,49.6970999520272,False,quest_kg,9
