qid,question,gold,prediction,em,f1,confidence,latency_ms,abstained,x_method,x_rank
oa_331,"At time 58 in context ctx_02, can u_0041 access res_0016?",1,No. To determine if u_0041 can access res_0016 at time 58,0,0.0,0.8,15899.673300096765,False,tog1,0
oa_0,"At time 83 in context ctx_03, can u_0045 access res_0134?",0,No. To determine if u_0045 can access res_0134 at time 83,1,1.0,0.8,9697.438500123098,False,tog1,0
oa_365,"At time 55 in context ctx_07, can u_0481 access res_0048?",1,No. To determine if u_0481 can access res_0048 at time 55,0,0.0,0.8,14463.37589994073,False,tog1,0
oa_1,"At time 142 in context ctx_06, can u_0029 access res_0098?",0,No. To determine if u_0029 can access res_0098 at time 14,1,1.0,0.8,9639.62829997763,False,tog1,0
oa_589,"At time 55 in context ctx_07, can u_0247 access res_0048?",1,No. To determine if u_0247 can access res_0048 at time 55,0,0.0,0.8,9222.744400147349,False,tog1,0
oa_2,"At time 93 in context ctx_05, can u_0276 access res_0026?",0,No. To determine if u_0276 can access res_0026 at time 93,1,1.0,0.8,9163.21470006369,False,tog1,0
oa_604,"At time 58 in context ctx_02, can u_0127 access res_0125?",1,No. To determine if u_0127 can access res_0125 at time 58,0,0.0,0.8,15124.497599899769,False,tog1,0
oa_9,"At time 124 in context ctx_04, can u_0442 access res_0154?",0,No. To determine if u_0442 can access res_0154 at time 12,1,1.0,0.8,9155.9460000135,False,tog1,0
oa_685,"At time 51 in context ctx_03, can u_0138 access res_0156?",1,No. To determine if u_0138 can access res_0156 at time 51,0,0.0,0.8,15239.763699937612,False,tog1,0
oa_12,"At time 134 in context ctx_06, can u_0132 access res_0152?",0,"No, at time 134 in context ctx_06, u_0132 cannot access res",1,1.0,0.8,2192.0066999737173,False,tog1,0
oa_708,"At time 60 in context ctx_04, can u_0452 access res_0130?",1,No. To determine if u_0452 can access res_0130 at time 60,0,0.0,0.8,15738.321600016207,False,tog1,0
oa_15,"At time 90 in context ctx_02, can u_0316 access res_0060?",0,No. To determine if u_0316 can access res_0060 at time 90,1,1.0,0.8,14276.487299939618,False,tog1,0
oa_803,"At time 50 in context ctx_02, can u_0243 access res_0016?",1,No. To determine if u_0243 can access res_0016 at time 50,0,0.0,0.8,15380.929799983278,False,tog1,0
oa_19,"At time 128 in context ctx_00, can u_0170 access res_0134?",0,No. To determine if u_0170 can access res_0134 at time 12,1,1.0,0.8,15030.584400054067,False,tog1,0
oa_826,"At time 61 in context ctx_05, can u_0225 access res_0139?",1,No. To determine if u_0225 can access res_0139 at time 61,0,0.0,0.8,15395.03140002489,False,tog1,0
oa_26,"At time 196 in context ctx_04, can u_0236 access res_0066?",0,No. To determine if u_0236 can access res_0066 at time 19,1,1.0,0.8,15160.223199985921,False,tog1,0
oa_862,"At time 50 in context ctx_02, can u_0311 access res_0066?",1,No. To determine if u_0311 can access res_0066 at time 50,0,0.0,0.8,14770.98560007289,False,tog1,0
